Day and Hour,Distribution of the number of trips
2003-1-5 05,1
2003-1-6 00,1
2008-12-31 17,1
2008-12-31 23,3
2009-1-1 00,9
2009-1-1 01,11
2009-1-1 03,1
2009-1-1 07,2
2009-1-1 08,1
2009-1-1 09,1
2009-1-1 10,2
2009-1-1 16,1
2021-11-30 08,1
2021-11-30 13,2
2021-11-30 14,2
2021-11-30 22,1
2021-12-1 00,48
2021-12-1 01,1955
2021-12-1 02,1000
2021-12-1 03,468
2021-12-1 04,267
2021-12-1 05,305
2021-12-1 06,674
2021-12-1 07,2256
2021-12-1 08,4615
2021-12-1 09,5869
2021-12-1 10,6208
2021-12-1 11,6364
2021-12-1 12,6452
2021-12-1 13,6920
2021-12-1 14,6792
2021-12-1 15,7438
2021-12-1 16,7776
2021-12-1 17,7503
2021-12-1 18,8319
2021-12-1 19,8837
2021-12-1 20,7637
2021-12-1 21,6756
2021-12-1 22,6541
2021-12-1 23,6126
2021-12-10 00,6246
2021-12-10 01,4619
2021-12-10 02,2826
2021-12-10 03,1695
2021-12-10 04,916
2021-12-10 05,641
2021-12-10 06,862
2021-12-10 07,2115
2021-12-10 08,4148
2021-12-10 09,5393
2021-12-10 10,5819
2021-12-10 11,6407
2021-12-10 12,6620
2021-12-10 13,6729
2021-12-10 14,6883
2021-12-10 15,7622
2021-12-10 16,7632
2021-12-10 17,7407
2021-12-10 18,8487
2021-12-10 19,9160
2021-12-10 20,8790
2021-12-10 21,7333
2021-12-10 22,7077
2021-12-10 23,7384
2021-12-11 00,6932
2021-12-11 01,6002
2021-12-11 02,4791
2021-12-11 03,3613
2021-12-11 04,2398
2021-12-11 05,1181
2021-12-11 06,584
2021-12-11 07,974
2021-12-11 08,1594
2021-12-11 09,2597
2021-12-11 10,4505
2021-12-11 11,5950
2021-12-11 12,6973
2021-12-11 13,7349
2021-12-11 14,7435
2021-12-11 15,7425
2021-12-11 16,7972
2021-12-11 17,7477
2021-12-11 18,7813
2021-12-11 19,8114
2021-12-11 20,8157
2021-12-11 21,7117
2021-12-11 22,6684
2021-12-11 23,6899
2021-12-12 00,6643
2021-12-12 01,6131
2021-12-12 02,4885
2021-12-12 03,3829
2021-12-12 04,2690
2021-12-12 05,1420
2021-12-12 06,718
2021-12-12 07,913
2021-12-12 08,1461
2021-12-12 09,2162
2021-12-12 10,3898
2021-12-12 11,5646
2021-12-12 12,6247
2021-12-12 13,6350
2021-12-12 14,6545
2021-12-12 15,6645
2021-12-12 16,6819
2021-12-12 17,6204
2021-12-12 18,6395
2021-12-12 19,6098
2021-12-12 20,5582
2021-12-12 21,5157
2021-12-12 22,4717
2021-12-12 23,3896
2021-12-13 00,2759
2021-12-13 01,1618
2021-12-13 02,721
2021-12-13 03,404
2021-12-13 04,277
2021-12-13 05,426
2021-12-13 06,821
2021-12-13 07,2024
2021-12-13 08,4210
2021-12-13 09,5410
2021-12-13 10,5607
2021-12-13 11,5817
2021-12-13 12,6005
2021-12-13 13,6319
