VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee;;;;;;;;;;;;;;;
1,2021-12-01T01:19:51.000+01:00,2021-12-01T01:37:01.000+01:00,1.0,9.3,1.0,N,138,141,1,26.5,4.25,0.5,7.6,6.55,0.3,45.7,2.5,1.25
2,2021-12-01T01:29:07.000+01:00,2021-12-01T01:45:13.000+01:00,2.0,2.76,1.0,N,238,42,2,13.0,0.5,0.5,0.0,0.0,0.3,16.8,2.5,0.0
1,2021-12-01T01:25:04.000+01:00,2021-12-01T01:48:48.000+01:00,2.0,11.1,1.0,N,138,163,1,33.0,4.25,0.5,11.1,6.55,0.3,55.7,2.5,1.25
2,2021-12-01T01:40:04.000+01:00,2021-12-01T02:10:11.000+01:00,2.0,7.46,1.0,N,230,225,1,26.5,0.5,0.5,6.15,0.0,0.3,36.45,2.5,0.0
2,2021-12-01T01:05:32.000+01:00,2021-12-01T01:20:00.000+01:00,1.0,3.48,1.0,N,141,7,1,13.0,0.5,0.5,2.0,0.0,0.3,18.8,2.5,0.0
1,2022-01-01T01:30:20.000+01:00,2022-01-01T01:52:10.000+01:00,1.0,2.7,1.0,N,48,79,1,15.0,3.0,0.5,3.75,0.0,0.3,22.55,2.5,0.0
1,2022-01-01T01:58:11.000+01:00,2022-01-01T02:10:02.000+01:00,4.0,4.4,1.0,N,107,87,1,14.5,3.0,0.5,3.65,0.0,0.3,21.95,2.5,0.0
1,2022-01-01T01:50:22.000+01:00,2022-01-01T02:07:20.000+01:00,1.0,4.3,1.0,Y,90,262,1,15.0,3.0,0.5,3.75,0.0,0.3,22.55,2.5,0.0
1,2022-01-01T01:21:01.000+01:00,2022-01-01T01:25:53.000+01:00,2.0,1.9,1.0,N,137,140,1,7.0,3.0,0.5,1.0,0.0,0.3,11.8,2.5,0.0
1,2022-01-01T01:43:49.000+01:00,2022-01-01T02:03:06.000+01:00,3.0,2.3,1.0,N,161,79,3,13.5,3.0,0.5,0.0,0.0,0.3,17.3,2.5,0.0
2,2022-02-01T01:55:21.000+01:00,2022-02-01T02:03:50.000+01:00,5.0,1.74,1.0,N,79,164,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5,0.0
2,2022-02-01T01:13:51.000+01:00,2022-02-01T01:53:50.000+01:00,1.0,11.28,1.0,N,132,225,2,37.0,0.5,0.5,0.0,0.0,0.3,39.55,0.0,1.25
1,2022-02-01T01:40:57.000+01:00,2022-02-01T01:47:01.000+01:00,1.0,2.6,1.0,N,233,263,1,9.0,3.0,0.5,2.55,0.0,0.3,15.35,2.5,0.0
1,2022-02-01T01:29:35.000+01:00,2022-02-01T01:53:43.000+01:00,1.0,17.0,2.0,N,132,164,1,52.0,3.75,0.5,12.6,6.55,0.3,75.7,2.5,1.25
1,2022-02-01T01:35:44.000+01:00,2022-02-01T02:04:35.000+01:00,2.0,16.2,2.0,N,132,162,1,52.0,2.5,0.5,12.35,6.55,0.3,74.2,2.5,0.0
2,2022-02-01T01:18:25.000+01:00,2022-02-01T01:42:38.000+01:00,1.0,15.25,1.0,N,132,252,1,41.5,0.5,0.5,13.22,0.0,0.3,57.27,0.0,1.25
