VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2021-12-01T01:19:51.000+01:00,2021-12-01T01:37:01.000+01:00,1.0,9.3,1.0,N,138,141,1,26.5,4.25,0.5,7.6,6.55,0.3,45.7,2.5,1.25
2,2021-12-01T01:29:07.000+01:00,2021-12-01T01:45:13.000+01:00,2.0,2.76,1.0,N,238,42,2,13.0,0.5,0.5,0.0,0.0,0.3,16.8,2.5,0.0
1,2021-12-01T01:12:40.000+01:00,2021-12-01T01:27:17.000+01:00,0.0,3.4,1.0,N,239,74,1,13.5,3.0,0.5,2.0,0.0,0.3,19.3,2.5,0.0
1,2021-12-01T01:10:18.000+01:00,2021-12-01T01:19:20.000+01:00,1.0,1.3,1.0,N,148,87,1,6.5,3.0,0.5,2.05,0.0,0.3,12.35,2.5,0.0
1,2021-12-01T01:25:12.000+01:00,2021-12-01T01:39:07.000+01:00,1.0,3.1,1.0,N,231,246,1,12.5,3.0,0.5,2.5,0.0,0.3,18.8,2.5,0.0
2,2021-12-01T01:28:50.000+01:00,2021-12-01T01:53:17.000+01:00,2.0,19.1,2.0,N,132,75,1,52.0,0.0,0.5,14.84,6.55,0.3,75.44,0.0,1.25
2,2021-12-01T01:00:08.000+01:00,2021-12-01T01:18:27.000+01:00,2.0,5.18,1.0,N,114,239,1,17.5,0.5,0.5,4.26,0.0,0.3,25.56,2.5,0.0
2,2021-12-01T01:21:48.000+01:00,2021-12-01T01:31:30.000+01:00,1.0,3.11,1.0,N,143,90,1,11.0,0.5,0.5,2.66,0.0,0.3,17.46,2.5,0.0
1,2021-12-01T01:01:13.000+01:00,2021-12-01T01:17:00.000+01:00,1.0,8.1,1.0,N,138,236,1,24.5,4.25,0.5,5.42,6.55,0.3,41.52,2.5,1.25
1,2021-12-01T01:42:53.000+01:00,2021-12-01T01:51:22.000+01:00,0.0,2.3,1.0,N,141,43,1,9.5,3.0,0.5,1.5,0.0,0.3,14.8,2.5,0.0
1,2021-12-01T01:25:04.000+01:00,2021-12-01T01:48:48.000+01:00,2.0,11.1,1.0,N,138,163,1,33.0,4.25,0.5,11.1,6.55,0.3,55.7,2.5,1.25
2,2021-12-01T01:40:04.000+01:00,2021-12-01T02:10:11.000+01:00,2.0,7.46,1.0,N,230,225,1,26.5,0.5,0.5,6.15,0.0,0.3,36.45,2.5,0.0
2,2021-12-01T01:05:32.000+01:00,2021-12-01T01:20:00.000+01:00,1.0,3.48,1.0,N,141,7,1,13.0,0.5,0.5,2.0,0.0,0.3,18.8,2.5,0.0
